"","YEAR","PRIMARY_SAMPLE_UNIT","richness","simpson","shannon","func.div","evenness"
"1",1999,"001U",43,10.51860246,18.02767634,1.66997025990518,0.625636839209177
"2",1999,"002U",36,4.18487575,9.65055182,1.54296560170849,0.399461266598964
"3",1999,"003U",45,6.57971479,14.27449092,1.68305101307991,0.494919474757515
"4",1999,"004U",61,9.86911146,16.20362741,2.05544590556612,0.556915609867127
"5",1999,"005U",60,8.93687439,15.41316215,2.09103775612793,0.534929553103606
"6",1999,"006U",63,12.34235309,18.93985627,2.08358044709268,0.60655442178876
"7",1999,"007U",51,9.34831779,16.95972776,2.00239187467078,0.568488183466835
"8",1999,"008U",45,8.8320893,16.42298881,1.74480216027733,0.57225761572294
"9",1999,"009U",46,8.35550681,15.32321181,1.68164718400657,0.554484110506049
"10",1999,"010U",41,9.03041018,15.63733217,1.6804447969198,0.592582492392866
"11",1999,"011U",34,10.22892322,15.20058282,1.6448087411096,0.659382187771735
"12",1999,"012U",32,7.07789474,14.69629035,1.88576963070269,0.564664061203571
"13",1999,"013U",22,6.69943503,11.21654309,1.62994231163343,0.615333897026536
"14",1999,"014U",26,5.72803828,10.97763874,1.42422873166696,0.535703313819684
"15",1999,"015U",30,6.85621709,11.74225051,1.58579044871491,0.56602297052576
"16",1999,"016U",42,9.54676414,17.17338936,1.97569259476246,0.603638762556814
"17",1999,"017U",30,4.08,8.28184975,1.49757382387463,0.413412345898289
"18",1999,"018U",37,7.40051256,14.62975528,1.71686743632276,0.554304836318109
"19",1999,"019U",30,5.07875687,9.03234817,1.71095622243624,0.477792476870123
"20",1999,"020U",12,5.39795918,7.06921184,1.53244491441272,0.678504745170837
"21",1999,"021U",39,10.36666937,16.08757672,2.0229864424025,0.638339413059355
"22",1999,"022U",30,12.02382844,16.06824156,2.04911067034979,0.731180847437154
"23",1999,"023U",29,8.24246231,14.22442109,1.73413252353017,0.626407428987007
"24",1999,"024U",33,11.15264038,17.17045803,2.16023895196406,0.689738612810895
"25",1999,"025U",42,15.04893581,21.66585986,1.95606169490759,0.725400464810708
"26",1999,"026U",36,11.26495956,15.54887292,2.02809573473292,0.675787410581275
